Report Written :   Monday, January 12, 2015  15:08
Project Path   :   C:\Users\dutsch\Documents\GitHub\motor-controller-pcb\motor-controller.prj
Design Path    :   C:\Users\dutsch\Documents\GitHub\motor-controller-pcb\motor-controller.pcb
Design Title   :
Created        :   13.10.2014 16:37:54
Last Saved     :   12.01.2015 15:08:34
Editing Time   :   6376 min
Units          :   mm (precision 3)

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"TP3","1","003-1009-040519","","TESTTERM2.0","","","","","Press-fit Standoff Test Terminal"
"TP2","1","003-1009-040519","","TESTTERM2.0","","","","","Press-fit Standoff Test Terminal"
"TP1","1","003-1009-040519","","TESTTERM2.0","","","","","Press-fit Standoff Test Terminal"
"TP4","1","003-1009-040519","","TESTTERM2.0","","","","","Press-fit Standoff Test Terminal"
"GND","1","003-1009-040519","","TESTTERM2.0","","","","","Press-fit Standoff Test Terminal"
"TP10","1","003-1009-040519","","TESTTERM2.0","","","","","Press-fit Standoff Test Terminal"
"TP11","1","003-1009-040519","","TESTTERM2.0","","","","","Press-fit Standoff Test Terminal"
"TP20","1","003-1009-040519","","TESTTERM2.0","","","","","Press-fit Standoff Test Terminal"
"TP21","1","003-1009-040519","","TESTTERM2.0","","","","","Press-fit Standoff Test Terminal"
"TP22","1","003-1009-040519","","TESTTERM2.0","","","","","Press-fit Standoff Test Terminal"
"TP23","1","003-1009-040519","","TESTTERM2.0","","","","","Press-fit Standoff Test Terminal"
"Fiber","1","282836-2","","DIL","Farnell","3089034","","","KLEMMLEISTE TERMI BLOK 6POL 13.5A"
"Motor","1","282836-2","","DIL","","","","","KLEMMLEISTE TERMI BLOK 6POL 13.5A"
"StatusLED","1","282836-2","","DIL","Farnell","3089034","","","KLEMMLEISTE TERMI BLOK 6POL 13.5A"
"LimitSw","1","282836-2","","DIL","","","","","KLEMMLEISTE TERMI BLOK 6POL 13.5A"
"DriverLED","1","282836-2","","DIL","","","","","KLEMMLEISTE TERMI BLOK 6POL 13.5A"
"Position","1","282836-3","","DIL","Farnell","3089046","","","KLEMMLEISTE TERMI BLOK 6POL 13.5A"
"CONN1","1","282836-6","","USER","Farnell","3089071","","","KLEMMLEISTE TERMI BLOK 6POL 13.5A"
"U3","1","ADS1100A1IDBVT","","DBV6-L","Farnell","9324062","9324062","","ADS1100A1IDBVT"
"U6","1","BAV99-V-GS08","","SOT23-L","Farnell","9843612","7102765","","Diode Switching 70V 0.15A"
"U19","1","BAV99-V-GS08","","SOT23-L","Farnell","9843612","7102765","","Diode Switching 70V 0.15A"
"C16","1","C0805","0.1uF","SM0805","","","","","Capacitor, Surface Mount Multi-Layer Ceramic"
"C17","1","C0805","0.1uF","SM0805","","","","","Capacitor, Surface Mount Multi-Layer Ceramic"
"C18","1","C0805","0.1uF","SM0805","","","","","Capacitor, Surface Mount Multi-Layer Ceramic"
"C19","1","C0805","0.1uF","SM0805","","","","","Capacitor, Surface Mount Multi-Layer Ceramic"
"C20","1","C0805","0.1uF","SM0805","","","","","Capacitor, Surface Mount Multi-Layer Ceramic"
"C21","1","C0805","0.1uF","SM0805","","","","","Capacitor, Surface Mount Multi-Layer Ceramic"
